Filename,DEVICE,MODE,DATE,TIME,Par.Record,Meas. Point No.,Outer Diameter,Wall Thickness,Roughness,Pipe Material,Lining,Medium,Medium Temperat.,Transducer Type,Sound Path,Transd. Distance,Damping,Full-Scale Val.,Current Loop,Storage Rate,Physic. Quant.,Unit Of Measure,Numb.Of Meas.Val,MEASURE_Avg,MEASURE_Median,MEASURE_Mode,MEASURE_Max,MEASURE_Min,SSPEED_Avg,SSPEED_Median,SSPEED_Mode,SSPEED_Max,SSPEED_Min
260507_1049_4711_73.csv,G 608ST-60802901,STORED,07.05.2026,10:49:45,,: B:4711,73.0 mm,2.0 mm,0.0 mm,Stainless Steel,WITHOUT LINING,Water,20.0 C,CDM1N5213047,2 NUM,1.4 mm,10 s,m3/h,mA,00:00:01 SAMPLES,Volume flow,[m3/h]/[m3],49,14.5214,14.53,14.53,14.79,14,1295.5163,1470.8,1470.1,1493.4,13
260507_1054_4741_33.csv,G 608ST-60802901,STORED,07.05.2026,10:54:25,,: B:4741,33.7 mm,3.2 mm,0.1 mm,Carbon Steel,WITHOUT LINING,Water,20.0 C,CDM1N5213047,1 NUM,-37.8 mm,10 s,m3/h,mA,00:00:01 SAMPLES,Volume flow,[m3/h]/[m3],49,1.6305,1.7,1.73,1.9,0.56,1350.0408,1588.3,15,1892.9,15
260507_1104_47.17_165.csv,G 608ST-60802901,STORED,07.05.2026,11:04:35,,: B:47.17,165.3 mm,5.0 mm,0.1 mm,Carbon Steel,WITHOUT LINING,Water,20.0 C,CDM1N5213047,2 NUM,76.2 mm,10 s,m3/h,mA,00:00:01 SAMPLES,Volume flow,[m3/h]/[m3],57,24.5969,25.06,21.22,26.9,21.22,1463.3789,1509.7,1539.9,1540.7,13
260507_1106_47.17_165.csv,G 608ST-60802901,STORED,07.05.2026,11:06:43,,: B:47.17,165.3 mm,5.0 mm,0.1 mm,Carbon Steel,WITHOUT LINING,Water,20.0 C,CDM1N5213047,2 NUM,76.2 mm,10 s,m3/h,mA,00:00:01 SAMPLES,Volume flow,[m3/h]/[m3],49,-22.46,-22.35,-20.57,-20.2,-25.66,1507.7837,1556.1,1629.8,1692.8,17
260507_1112_47.16_155.csv,G 608ST-60802901,STORED,07.05.2026,11:12:17,,: B:47.16,155.0 mm,2.0 mm,0.0 mm,Stainless Steel,WITHOUT LINING,Water,20.0 C,CDM1N5213047,2 NUM,64.7 mm,10 s,m3/h,mA,00:00:01 SAMPLES,Volume flow,[m3/h]/[m3],27,-19.4524,-20.19,-19.9,-14.14,-21.02,1416.0926,1415.7,1413.4,1419.2,1413.4
260507_1113_47.16_155.csv,G 608ST-60802901,STORED,07.05.2026,11:13:00,,: B:47.16,155.0 mm,2.0 mm,0.0 mm,Stainless Steel,WITHOUT LINING,Water,20.0 C,CDM1N5213047,2 NUM,64.7 mm,10 s,m3/h,mA,00:00:01 SAMPLES,Volume flow,[m3/h]/[m3],53,18.6258,19.34,17.42,20.02,14.87,1260.0698,1405.9,1405.4,1444.4,33
260507_1125_47.05_168.csv,G 608ST-60802901,STORED,07.05.2026,11:25:53,,: B:47.05,168.3 mm,5.0 mm,0.1 mm,Carbon Steel,WITHOUT LINING,Water,20.0 C,CDM1N5213047,2 NUM,78.5 mm,10 s,m3/h,mA,00:00:01 SAMPLES,Volume flow,[m3/h]/[m3],75,-0.4062,-0.39,0.17,0.85,-1.51,584.548,42,17,1522.5,12
260511_0902_47-1_168.csv,G 608ST-60802901,STORED,11.05.2026,09:02:12,,: B:47-1,168.0 mm,5.0 mm,0.1 mm,Carbon Steel,WITHOUT LINING,Water,20.0 C,CDM1N5213047,2 NUM,78.2 mm,10 s,m3/h,mA,00:00:01 SAMPLES,Volume flow,[m3/h]/[m3],331,129.8371,255.27,0,278.22,-260.58,1081.3284,1499.7,1501.2,1511.7,11
260511_0911_47-2_220.csv,G 608ST-60802901,STORED,11.05.2026,09:11:32,,: B:47-2,220.0 mm,5.0 mm,0.1 mm,Carbon Steel,WITHOUT LINING,Water,20.0 C,CDM1N5213047,2 NUM,118.4 mm,10 s,m3/h,mA,00:00:01 SAMPLES,Volume flow,[m3/h]/[m3],136,240.6311,238.33,246.84,258.72,231.61,1460.1449,1481.95,1481.5,1537.3,28
260511_0916_47-3_220.csv,G 608ST-60802901,STORED,11.05.2026,09:16:35,,: B:47-3,220.0 mm,5.0 mm,0.1 mm,Carbon Steel,WITHOUT LINING,Water,20.0 C,CDM1N5213047,2 NUM,118.4 mm,10 s,m3/h,mA,00:00:01 SAMPLES,Volume flow,[m3/h]/[m3],74,2.54,2.54,5.08,5.08,0,388.7608,26,23,1536.6,19
260511_0918_47-4_220.csv,G 608ST-60802901,STORED,11.05.2026,09:18:22,,: B:47-4,220.0 mm,5.0 mm,0.1 mm,Carbon Steel,WITHOUT LINING,Water,20.0 C,CDM1N5213047,2 NUM,118.4 mm,10 s,m3/h,mA,00:00:01 SAMPLES,Volume flow,[m3/h]/[m3],128,282.8684,280.68,272.7,303.3,266.04,1407.3602,1520.6,1538.2,1561.4,32
260511_0924_47-5_168.csv,G 608ST-60802901,STORED,11.05.2026,09:24:16,,: B:47-5,168.0 mm,4.5 mm,0.1 mm,Carbon Steel,WITHOUT LINING,Water,20.0 C,CDM1N5213047,2 NUM,77.7 mm,10 s,m3/h,mA,00:00:01 SAMPLES,Volume flow,[m3/h]/[m3],1402,,,,,,,,,,
260512_0840_4200.01_114.csv,G 608ST-60802901,STORED,12.05.2026,08:40:48,,: B:4200.01,114.0 mm,4.5 mm,0.1 mm,Carbon Steel,WITHOUT LINING,Water,20.0 C,CDM1N5213047,2 NUM,36.1 mm,10 s,m3/h,mA,00:00:01 SAMPLES,Volume flow,[m3/h]/[m3],92,-17.8116,-17.475,-20.44,-14.9,-21.52,1428.7391,1499.95,1491.7,1695,12
260512_0850_3806_139.csv,G 608ST-60802901,STORED,12.05.2026,08:50:58,,: B:3806,139.7 mm,2.0 mm,0.0 mm,Stainless Steel,WITHOUT LINING,Water,20.0 C,CDM1N5213047,2 NUM,52.9 mm,10 s,m3/h,mA,00:00:01 SAMPLES,Volume flow,[m3/h]/[m3],72,88.3404,88.6,88.56,89.16,83.37,1464.0486,1464,1464,1464.8,1463.4
260512_0854_3801_88.csv,G 608ST-60802901,STORED,12.05.2026,08:54:20,,: B:3801,88.9 mm,2.0 mm,0.0 mm,Stainless Steel,WITHOUT LINING,Water,20.0 C,CDM1N5213047,2 NUM,13.7 mm,10 s,m3/h,mA,00:00:01 SAMPLES,Volume flow,[m3/h]/[m3],72,30.7138,30.72,31.45,31.68,28.14,1328.3653,1470.55,1473.2,1473.8,13
