t_stamp,TT101
01/12/2025,25.29999924
01/12/2025,21.60000038
01/12/2025,19.5
01/12/2025,18.20000076
01/12/2025,17.29999924
01/12/2025,16.5
01/12/2025,16
01/12/2025,15.5
01/12/2025,15.10000038
01/12/2025,14.69999981
01/12/2025,14.30000019
01/12/2025,14.10000038
01/12/2025,13.69999981
01/12/2025,13.5
01/12/2025,13.19999981
01/12/2025,13
01/12/2025,12.69999981
01/12/2025,12.5
01/12/2025,12.19999981
01/12/2025,12.10000038
01/12/2025,11.80000019
01/12/2025,11.69999981
01/12/2025,11.60000038
01/12/2025,11.5
01/12/2025,11.39999962
01/12/2025,11.30000019
01/12/2025,11.10000038
01/12/2025,11
01/12/2025,10.80000019
01/12/2025,10.69999981
01/12/2025,10.5
01/12/2025,10.30000019
01/12/2025,10.30000019
01/12/2025,10.19999981
01/12/2025,10.19999981
01/12/2025,10
01/12/2025,10
01/12/2025,10
01/12/2025,10
01/12/2025,9.800000191
01/12/2025,9.800000191
01/12/2025,9.800000191
01/12/2025,9.800000191
01/12/2025,9.699999809
01/12/2025,9.699999809
01/12/2025,9.699999809
01/12/2025,9.600000381
01/12/2025,9.5
01/12/2025,9.399999619
01/12/2025,9.199999809
01/12/2025,9.100000381
01/12/2025,9
01/12/2025,8.800000191
01/12/2025,8.699999809
01/12/2025,8.600000381
01/12/2025,8.399999619
01/12/2025,8.5
01/12/2025,8.300000191
01/12/2025,8.300000191
01/12/2025,8.199999809
01/12/2025,8.100000381
01/12/2025,8.100000381
01/12/2025,7.900000095
01/12/2025,7.900000095
01/12/2025,7.800000191
01/12/2025,7.800000191
01/12/2025,7.699999809
01/12/2025,7.699999809
01/12/2025,7.5
01/12/2025,7.599999905
01/12/2025,7.699999809
01/12/2025,7.800000191
01/12/2025,7.900000095
01/12/2025,7.900000095
01/12/2025,7.900000095
01/12/2025,7.900000095
01/12/2025,8
01/12/2025,7.900000095
01/12/2025,8
01/12/2025,7.900000095
01/12/2025,7.900000095
01/12/2025,8
01/12/2025,7.900000095
01/12/2025,7.900000095
01/12/2025,7.900000095
01/12/2025,7.900000095
01/12/2025,7.900000095
01/12/2025,7.900000095
01/12/2025,7.900000095
01/12/2025,7.900000095
01/12/2025,7.900000095
01/12/2025,7.900000095
01/12/2025,7.900000095
01/12/2025,7.900000095
01/12/2025,7.900000095
01/12/2025,7.900000095
01/12/2025,7.900000095
01/12/2025,7.900000095
01/12/2025,7.900000095
01/12/2025,7.800000191
01/12/2025,7.800000191
01/12/2025,7.699999809
01/12/2025,7.5
01/12/2025,7.5
01/12/2025,7.400000095
01/12/2025,7.300000191
01/12/2025,7.199999809
01/12/2025,7.199999809
01/12/2025,7.199999809
01/12/2025,7.199999809
01/12/2025,7.300000191
01/12/2025,7.400000095
01/12/2025,7.400000095
01/12/2025,7.5
01/12/2025,7.5
01/12/2025,7.400000095
01/12/2025,7.400000095
01/12/2025,7.5
01/12/2025,7.400000095
01/12/2025,7.400000095
01/12/2025,7.5
01/12/2025,7.400000095
01/12/2025,7.400000095
01/12/2025,7.400000095
01/12/2025,7.400000095
01/12/2025,7.400000095
01/12/2025,7.400000095
01/12/2025,7.400000095
01/12/2025,7.400000095
01/12/2025,7.400000095
01/12/2025,7.400000095
01/12/2025,7.400000095
01/12/2025,7.400000095
01/12/2025,7.400000095
01/12/2025,7.400000095
01/12/2025,7.400000095
01/12/2025,7.400000095
01/12/2025,7.400000095
01/12/2025,7.400000095
01/12/2025,7.400000095
01/12/2025,7.5
01/12/2025,7.400000095
01/12/2025,7.400000095
01/12/2025,7.400000095
01/12/2025,7.400000095
01/12/2025,7.400000095
01/12/2025,7.400000095
01/12/2025,7.400000095
01/12/2025,7.400000095
01/12/2025,7.300000191
01/12/2025,7.300000191
01/12/2025,7.199999809
01/12/2025,7.300000191
01/12/2025,7.300000191
01/12/2025,7.199999809
01/12/2025,7.199999809
01/12/2025,7.199999809
01/12/2025,7.199999809
01/12/2025,7.199999809
01/12/2025,7.199999809
01/12/2025,7.199999809
01/12/2025,7.199999809
01/12/2025,7.199999809
01/12/2025,7.199999809
01/12/2025,7.199999809
01/12/2025,7.199999809
01/12/2025,7.199999809
01/12/2025,7.199999809
01/12/2025,7.199999809
