source,target,cabal,planta,tag,DN,OD_mm,WT_mm,d_m,area_m2,vel_ms,cabal_m3s,cabal_kgs,cabal_m3h,cabal_teo-real,vel_real,vel_teo-real,error
23.0,24.0,10.0,distribució,23.24,100.0,114.0,4.5,0.105,0.008659014751456867,1,0.008659014751456867,8.659014751456867,31.17245310524472,21.17245310524472,0.32079605561480545,0.6792039443851945,2.117245310524472
3.0,51000.0,10.0,SS-1000,51000.0,50.0,60.3,3.6,0.053099999999999994,0.0022145165154970788,1,0.0022145165154970788,2.214516515497079,7.972259455789484,-2.0277405442105163,1.254349542366934,-0.25434954236693397,0.2027740544210517
2.0,53000.0,10.0,SS-3000,53000.0,50.0,60.3,3.6,0.053099999999999994,0.0022145165154970788,1,0.0022145165154970788,2.214516515497079,7.972259455789484,-2.0277405442105163,1.254349542366934,-0.25434954236693397,0.2027740544210517
1.0,1180.01,100.0,grups fred assecat,1180.01,100.0,114.0,4.5,0.105,0.008659014751456867,1,0.008659014751456867,8.659014751456867,31.17245310524472,-68.82754689475527,3.207960556148054,-2.207960556148054,0.6882754689475528
1180.01,1181.0,0.0,grups fred assecat,1181.0,65.0,76.1,3.6,0.06889999999999999,0.003728450015261999,1,0.003728450015261999,3.728450015261999,13.422420054943197,13.422420054943197,0.0,1.0,
1180.01,1180.02,100.0,grups fred assecat,1180.02,100.0,114.0,4.5,0.105,0.008659014751456867,1,0.008659014751456867,8.659014751456867,31.17245310524472,-68.82754689475527,3.207960556148054,-2.207960556148054,0.6882754689475528
1180.02,1182.0,50.0,grups fred assecat,1182.0,65.0,76.1,3.6,0.06889999999999999,0.003728450015261999,1,0.003728450015261999,3.728450015261999,13.422420054943197,-36.577579945056804,3.725110657789766,-2.725110657789766,0.7315515989011361
1180.02,1180.03,50.0,grups fred assecat,1180.03,100.0,114.0,4.5,0.105,0.008659014751456867,1,0.008659014751456867,8.659014751456867,31.17245310524472,-18.82754689475528,1.603980278074027,-0.6039802780740271,0.3765509378951055
1180.03,1191.0,0.0,grups fred assecat,1191.0,65.0,76.1,3.6,0.06889999999999999,0.003728450015261999,1,0.003728450015261999,3.728450015261999,13.422420054943197,13.422420054943197,0.0,1.0,
1180.03,1192.0,50.0,grups fred assecat,1192.0,65.0,76.1,3.6,0.06889999999999999,0.003728450015261999,1,0.003728450015261999,3.728450015261999,13.422420054943197,-36.577579945056804,3.725110657789766,-2.725110657789766,0.7315515989011361
8109.0,1160.01,100.0,grups fred extracció,1160.01,204.0,204.0,2.0,0.2,0.031415926535897934,1,0.031415926535897934,31.415926535897935,113.09733552923257,13.097335529232566,0.8841941282883073,0.11580587171169265,0.13097335529232565
1160.01,1160.0,50.0,grups fred extracció,1160.0,129.0,129.0,2.0,0.125,0.01227184630308513,1,0.01227184630308513,12.271846303085129,44.178646691106465,-5.821353308893535,1.1317684842090334,-0.13176848420903342,0.11642706617787059
1160.01,1170.0,50.0,grups fred extracció,1170.0,100.0,114.0,2.0,0.11,0.009503317777109124,1,0.009503317777109124,9.503317777109125,34.21194399759285,-15.788056002407153,1.4614778979972023,-0.4614778979972023,0.315761120048143
5.0,3100.01,100.0,PEC,3100.01,200.0,220.0,5.0,0.21,0.03463605900582747,1,0.03463605900582747,34.63605900582747,124.68981242097888,24.689812420978882,0.8019901390370135,0.19800986096298645,0.2468981242097889
3100.01,3100.02,20.0,PEC,3100.02,200.0,220.0,5.0,0.21,0.03463605900582747,1,0.03463605900582747,34.63605900582747,124.68981242097888,104.68981242097888,0.16039802780740273,0.8396019721925972,5.234490621048944
3100.01,3100.03,80.0,PEC,3100.03,125.0,141.0,5.0,0.131,0.013478217882063612,1,0.013478217882063612,13.478217882063612,48.521584375429,-31.478415624571,1.6487507782312123,-0.6487507782312123,0.39348019530713746
3100.02,3150.0,20.0,PEC,3150.0,50.0,60.3,3.6,0.053099999999999994,0.0022145165154970788,1,0.0022145165154970788,2.214516515497079,7.972259455789484,-12.027740544210516,2.508699084733868,-1.508699084733868,0.6013870272105258
3100.03,3101.0,40.0,PEC,3101.0,80.0,88.9,4.0,0.08090000000000001,0.005140281753785256,1,0.005140281753785256,5.140281753785255,18.50501431362692,-21.49498568637308,2.161576279924538,-1.161576279924538,0.5373746421593271
3100.03,3102.0,40.0,PEC,3102.0,80.0,88.9,4.0,0.08090000000000001,0.005140281753785256,1,0.005140281753785256,5.140281753785255,18.50501431362692,-21.49498568637308,2.161576279924538,-1.161576279924538,0.5373746421593271
23.0,5600.01,10.0,SS-600,5600.01,80.0,88.9,4.0,0.08090000000000001,0.005140281753785256,1,0.005140281753785256,5.140281753785255,18.50501431362692,8.50501431362692,0.5403940699811345,0.4596059300188655,0.8505014313626917
5600.01,5603.0,8.0,SS-600,5603.0,50.0,60.3,3.6,0.053099999999999994,0.0022145165154970788,1,0.0022145165154970788,2.214516515497079,7.972259455789484,-0.027740544210516305,1.003479633893547,-0.003479633893546996,0.0034675680263144527
