Filename,POINTNAME,Type,DATE,TIME,Average,Median,Mode,Maximum,Minimum,DEVICE,MODE,Par.Record,Meas. Point No.,Outer Diameter,Wall Thickness,Roughness,Pipe Material,Lining,Medium,Medium Temperat.,Transducer Type,Sound Path,Transd. Distance,Damping,Full-Scale Val.,Current Loop,Physic. Quant.,Numb.Of Meas.Val,c-Material,Kinem.Viscosity,Density,Storage Rate
260206_1626_3900.02_Type6.csv,3900.02,Type6,260206,1626,176.0099,200.8039,218.8553,218.8553,112.1481,,,,,,,,,,,,,,,,,,,,,,,
260206_1640_3906_Type6.csv,3906,Type6,260206,1640,109.5804,134.7531,79.5026,145.4837,27.5304,,,,,,,,,,,,,,,,,,,,,,,
260206_1654_3906_Type6.csv,3906,Type6,260206,1654,109.5804,134.7531,79.5026,145.4837,27.5304,,,,,,,,,,,,,,,,,,,,,,,
260219_0000_573-07_Type6.csv,573-07,Type6,260219,0,15.2698,0,0,353.1713,-6.2465,,,,,,,,,,,,,,,,,,,,,,,
260219_1123_573-07_Type6.csv,573-07,Type6,260219,1123,15.2698,0,0,353.1713,-6.2465,,,,,,,,,,,,,,,,,,,,,,,
260219_1448_573-07_Type6.csv,573-07,Type6,260219,1448,106.7559,13.3913,0,449.5158,-15.4924,,,,,,,,,,,,,,,,,,,,,,,
260223_0000_573-07_Type6.csv,573-07,Type6,260223,0,266.136,265.6239,287.0629,319.7967,160.299,,,,,,,,,,,,,,,,,,,,,,,
260223_0753_573-07_Type6.csv,573-07,Type6,260223,753,266.136,265.6239,287.0629,319.7967,160.299,,,,,,,,,,,,,,,,,,,,,,,
260224_0000_573-07_Type6.csv,573-07,Type6,260224,0,225.5593,226.8426,112.6717,300.9245,112.6717,,,,,,,,,,,,,,,,,,,,,,,
260224_1349_573-07_Type6.csv,573-07,Type6,260224,1349,225.5593,226.8426,112.6717,300.9245,112.6717,,,,,,,,,,,,,,,,,,,,,,,
260225_1406_573-07_Type6.csv,573-07,Type6,260225,1406,257.2519,259.0893,199.8139,334.4791,-10.4786,,,,,,,,,,,,,,,,,,,,,,,
260309_1030_573-08_Type6.csv,573-08,Type6,260309,1030,2.6218,2.353,0.3705,11.1313,-3.7557,,,,,,,,,,,,,,,,,,,,,,,
260309_1333_573-08_Type6.csv,573-08,Type6,260309,1333,3.3749,3.5702,0.1981,12.4028,-2.2839,,,,,,,,,,,,,,,,,,,,,,,
260316_0858_573-05_Type6.csv,573-05,Type6,260316,858,0.0269,-0.0694,1.1093,2.7538,-0.9928,,,,,,,,,,,,,,,,,,,,,,,
260316_1349_573-05_Type6.csv,573-05,Type6,260316,1349,0.9144,0.9148,-0.0795,1.5991,-0.4388,,,,,,,,,,,,,,,,,,,,,,,
260324_0000_573-05_Type8.csv,573-05,Type8,260324,0,48.4388,2.44,2.19,223.02,1.83,G 608ST-60802901,STORED,,: A:573-5,60.3 mm,3.6 mm,0.1 mm,Carbon Steel,WITHOUT LINING,Steam low press.,150.0 C,GRM1SH3-186243,1 NUM,40.0 mm,10 s,m3/h,mA,Volume flow,1692,,,,
260420_7357_23_Type8.csv,23,Type8,260420,7357,,,,,,G 608ST-60802901,STORED,,: A:7357,80.0 mm,0.1 mm,0.1 mm,Other Material,WITHOUT LINING,Other Medium,150.0 C,GRM1SH3-186243,1 NUM,-62.6 mm,10 s,m3/h,mA,Volume flow,1,330.0 m/s,3.3 mm2/s,0.00 g/cm3,
260420_7357_29_Type8.csv,29,Type8,260420,7357,,,,,,G 608ST-60802901,STORED,,: A:7357,15.0 mm,0.1 mm,0.1 mm,Other Material,WITHOUT LINING,Other Medium,150.0 C,GRM1SH3-186243,1 NUM,-70.4 mm,10 s,kg/h,mA,Mass flow,1,330.0 m/s,3.3 mm2/s,0.00 g/cm3,
260420_7357_33_Type8.csv,33,Type8,260420,7357,,,,,,G 608ST-60802901,STORED,,: A:7357,80.0 mm,0.1 mm,0.1 mm,Other Material,WITHOUT LINING,Other Medium,150.0 C,GRM1SH3-186243,1 NUM,-62.6 mm,10 s,kg/h,mA,Mass flow,4,330.0 m/s,3.3 mm2/s,0.00 g/cm3,
260504_0000_06.07_Type8.csv,6.07,Type8,260504,0,615.6184,619.07,606.37,640.64,578.28,G 608ST-60802901,STORED,,: B:323,323.0 mm,5.5 mm,0.1 mm,Carbon Steel,WITHOUT LINING,Water,20.0 C,CDM1N5213047,2 NUM,198.4 mm,10 s,m3/h,mA,Volume flow,129,,,,00:00:01 SAMPLES
260504_0000_10.11_Type8.csv,10.11,Type8,260504,0,183.495,181.01,198.58,205.27,175.13,G 608ST-60802901,STORED,,: B:273,273.0 mm,5.0 mm,0.1 mm,Carbon Steel,WITHOUT LINING,Water,20.0 C,CDM1N5213047,2 NUM,159.3 mm,10 s,m3/h,mA,Volume flow,104,,,,00:00:01 SAMPLES
260504_0000_1120_Type8.csv,1120,Type8,260504,0,85.1523,85.405,76.87,91.6,71.73,G 608ST-60802901,STORED,,: B:1-120,141.0 mm,5.0 mm,0.1 mm,Carbon Steel,WITHOUT LINING,Water,20.0 C,CDM1N5213047,2 NUM,57.4 mm,10 s,m3/h,mA,Volume flow,87,,,,00:00:01 SAMPLES
260504_0000_1160_Type8.csv,1160,Type8,260504,0,76.3362,74.43,74.09,84.5,72.61,G 608ST-60802901,STORED,,: B:1-160,129.0 mm,2.0 mm,0.0 mm,Stainless Steel,WITHOUT LINING,Water,20.0 C,CDM1N5213047,2 NUM,44.7 mm,10 s,m3/h,mA,Volume flow,61,,,,00:00:01 SAMPLES
260504_0000_1170_Type8.csv,1170,Type8,260504,0,55.4357,64.15,64.15,64.98,-66.49,G 608ST-60802901,STORED,,: B:1-170,114.0 mm,2.0 mm,0.0 mm,Stainless Steel,WITHOUT LINING,Water,20.0 C,CDM1N5213047,2 NUM,33.1 mm,10 s,m3/h,mA,Volume flow,53,,,,00:00:01 SAMPLES
260504_0000_3100.01_Type8.csv,3100.01,Type8,260504,0,72.5974,94.145,-94.36,97.62,-94.36,G 608ST-60802901,STORED,,: B:3-100-01,220.0 mm,5.5 mm,0.1 mm,Carbon Steel,WITHOUT LINING,Water,20.0 C,CDM1N5213047,2 NUM,118.9 mm,10 s,m3/h,mA,Volume flow,132,,,,00:00:01 SAMPLES
260504_0000_3100.02_Type8.csv,3100.02,Type8,260504,0,37.7372,38.275,19.86,46.87,19.86,G 608ST-60802901,STORED,,: B:3-100-02,220.0 mm,5.5 mm,0.1 mm,Carbon Steel,WITHOUT LINING,Water,20.0 C,CDM1N5213047,2 NUM,118.9 mm,10 s,m3/h,mA,Volume flow,68,,,,00:00:01 SAMPLES
260504_0000_3100.03_Type8.csv,3100.03,Type8,260504,0,67.2122,69.59,71.83,78.03,54.25,G 608ST-60802901,STORED,,: B:3-100-04,141.0 mm,4.0 mm,0.1 mm,Carbon Steel,WITHOUT LINING,Water,20.0 C,CDM1N5213047,2 NUM,56.4 mm,10 s,m3/h,mA,Volume flow,114,,,,00:00:01 SAMPLES
